gender,age,height,weight,bmi,tummy,hip,breast,baselayersize,jerseysize,bibsize
2,20,157.0,67.0,27.2,2,3,3,4,4,4
2,71,193.0,66.0,17.7,1,2,2,4,4,5
2,64,185.0,58.0,16.9,1,2,2,3,3,4
1,60,198.0,69.0,17.6,2,2,2,5,4,6
1,47,180.0,70.0,21.6,2,2,1,4,4,6
2,54,164.0,59.0,21.9,1,1,2,2,3,3
1,67,161.0,53.0,20.4,2,2,3,2,1,3
2,36,205.0,68.0,16.2,2,2,1,5,4,5
2,66,145.0,55.0,26.2,2,3,3,2,2,1
2,46,182.0,86.0,26.0,3,3,2,5,5,7
2,38,207.0,75.0,17.5,2,1,1,5,6,6
1,23,154.0,49.0,20.7,1,1,3,2,2,2
1,55,202.0,77.0,18.9,2,1,2,6,6,8
2,42,173.0,84.0,28.1,2,3,3,5,6,7
2,26,170.0,62.0,21.5,2,3,2,2,2,4
2,49,174.0,59.0,19.5,1,1,2,3,3,3
1,47,209.0,66.0,15.1,2,1,2,7,5,6
2,51,206.0,73.0,17.2,1,2,1,5,6,6
2,24,197.0,87.0,22.4,2,1,3,6,7,8
2,42,210.0,73.0,16.6,1,1,1,6,7,6
2,38,166.0,60.0,21.8,3,1,2,2,2,3
1,37,154.0,71.0,29.9,2,2,3,6,7,5
2,67,194.0,82.0,21.8,2,3,1,4,5,7
2,49,200.0,78.0,19.5,1,2,1,5,6,7
2,62,175.0,76.0,24.8,2,2,3,4,5,6
2,43,168.0,77.0,27.3,2,2,2,5,6,5
2,50,161.0,58.0,22.4,3,3,3,2,1,3
2,60,171.0,79.0,27.0,2,3,2,5,5,6
2,35,148.0,64.0,29.2,3,2,3,4,4,2
1,61,179.0,77.0,24.0,2,3,3,5,5,7
1,71,179.0,68.0,21.2,1,3,1,4,4,6
2,40,206.0,70.0,16.5,2,2,1,5,4,6
1,43,163.0,75.0,28.2,3,2,3,6,5,6
2,37,198.0,71.0,18.1,1,1,2,5,6,6
1,29,194.0,59.0,15.7,2,2,1,4,3,5
1,71,194.0,63.0,16.7,2,2,1,4,3,5
2,30,177.0,84.0,26.8,2,3,2,5,6,7
2,61,184.0,85.0,25.1,3,3,3,5,5,7
2,55,155.0,64.0,26.6,3,3,2,3,3,3
1,42,194.0,83.0,22.1,2,2,3,6,6,8
2,74,192.0,72.0,19.5,3,3,1,3,3,6
2,33,201.0,81.0,20.0,1,3,3,6,6,7
2,38,185.0,76.0,22.2,1,1,3,5,6,6
1,28,204.0,63.0,15.1,2,2,1,6,4,6
2,46,172.0,57.0,19.3,3,2,3,2,1,3
2,27,195.0,74.0,19.5,1,1,1,5,6,6
1,23,194.0,79.0,21.0,2,1,3,6,6,8
2,38,179.0,60.0,18.7,3,2,1,2,1,3
2,23,167.0,66.0,23.7,2,2,3,3,4,4
2,64,157.0,63.0,25.6,2,3,3,3,3,3
2,58,148.0,67.0,30.6,2,3,2,5,5,3
2,60,164.0,81.0,30.1,2,2,3,6,7,5
1,63,148.0,56.0,25.6,3,3,2,3,1,3
1,71,175.0,55.0,18.0,2,1,1,3,2,4
1,22,197.0,67.0,17.3,1,2,2,6,5,6
1,22,167.0,65.0,23.3,1,2,1,4,4,5
2,51,167.0,54.0,19.4,2,2,3,2,1,3
1,43,173.0,90.0,30.1,3,3,2,6,7,8
2,33,147.0,70.0,32.4,3,2,3,6,7,3
1,26,183.0,67.0,20.0,1,3,3,5,4,6
1,71,158.0,81.0,32.4,2,3,2,7,8,6
1,67,174.0,82.0,27.1,2,3,2,6,6,7
2,64,183.0,81.0,24.2,2,1,1,4,6,6
2,70,146.0,56.0,26.3,2,3,3,3,2,2
2,73,199.0,82.0,20.7,2,2,3,5,6,7
1,31,163.0,76.0,28.6,3,3,2,5,5,6
1,70,167.0,70.0,25.1,2,3,3,5,4,6
1,43,151.0,69.0,30.3,3,3,3,6,5,4
1,69,211.0,76.0,17.1,1,2,1,7,6,8
2,27,186.0,67.0,19.4,2,2,2,4,3,5
1,52,183.0,57.0,17.0,2,1,1,3,2,4
1,56,198.0,60.0,15.3,2,2,1,5,3,5
2,34,172.0,68.0,23.0,1,3,3,4,4,5
2,32,209.0,68.0,15.6,1,2,2,6,5,6
2,44,192.0,71.0,19.3,2,1,2,4,5,5
1,51,176.0,66.0,21.3,1,2,1,4,4,5
2,20,196.0,79.0,20.6,2,1,1,5,6,7
1,53,185.0,57.0,16.7,1,2,2,4,3,4
2,32,158.0,62.0,24.8,3,1,1,2,3,3
1,43,154.0,55.0,23.2,1,1,3,3,3,3
2,59,166.0,48.0,17.4,1,1,1,1,1,2
1,32,174.0,57.0,18.8,2,2,1,3,1,4
2,34,175.0,53.0,17.3,2,1,2,2,1,3
2,40,148.0,68.0,31.0,3,3,3,5,5,3
2,30,157.0,64.0,26.0,2,3,3,3,3,3
2,56,147.0,67.0,31.0,2,3,2,5,6,3
2,71,193.0,74.0,19.9,3,3,2,4,3,6
2,47,185.0,54.0,15.8,1,2,1,3,2,3
1,30,182.0,68.0,20.5,3,3,1,4,2,6
1,43,192.0,58.0,15.7,1,2,1,4,3,5
1,33,174.0,57.0,18.8,1,2,1,3,2,4
2,71,176.0,60.0,19.4,3,2,3,3,1,4
1,62,152.0,52.0,22.5,2,2,2,2,1,3
2,42,169.0,69.0,24.2,2,2,3,4,4,4
1,22,184.0,82.0,24.2,2,2,1,5,6,8
1,74,183.0,55.0,16.4,1,2,1,3,2,4
2,37,210.0,71.0,16.1,2,1,2,6,6,6
2,52,190.0,78.0,21.6,1,3,3,5,5,7
2,28,159.0,76.0,30.1,2,2,2,5,7,4
2,56,176.0,58.0,18.7,1,2,3,3,3,3
2,23,196.0,67.0,17.4,2,2,1,4,3,5
2,45,184.0,90.0,26.6,3,2,2,5,6,8
2,25,156.0,78.0,32.1,3,2,3,6,7,4
2,54,205.0,69.0,16.4,2,1,2,5,5,5
1,63,169.0,57.0,20.0,1,1,2,3,3,4
1,75,199.0,83.0,21.0,3,2,1,5,5,8
1,55,150.0,66.0,29.3,2,3,3,5,5,4
2,41,180.0,65.0,20.1,2,3,2,3,2,4
2,36,168.0,74.0,26.2,3,3,2,4,4,5
1,73,181.0,72.0,22.0,3,3,2,4,3,6
1,68,160.0,59.0,23.0,1,3,1,3,2,4
1,71,167.0,68.0,24.4,1,2,3,5,5,5
1,41,179.0,81.0,25.3,3,3,2,5,5,7
1,32,190.0,56.0,15.5,2,1,1,4,3,4
1,71,182.0,75.0,22.6,2,3,2,5,4,7
2,66,161.0,79.0,30.5,3,2,3,6,7,5
1,37,186.0,82.0,23.7,1,3,1,5,6,8
2,67,188.0,85.0,24.0,2,1,3,5,7,7
2,60,172.0,90.0,30.4,3,3,3,6,7,7
1,29,180.0,85.0,26.2,2,2,3,6,7,8
1,69,168.0,88.0,31.2,3,3,2,7,7,8
2,24,182.0,57.0,17.2,2,1,1,2,2,3
1,59,188.0,68.0,19.2,3,3,1,4,2,6
1,68,167.0,53.0,19.0,2,2,1,2,1,3
1,30,196.0,81.0,21.1,1,1,3,6,7,8
1,69,191.0,67.0,18.4,2,1,1,5,4,6
2,60,172.0,52.0,17.6,1,2,2,2,1,2
1,67,164.0,78.0,29.0,3,2,2,6,6,6
1,75,174.0,89.0,29.4,2,2,3,7,8,8
2,29,176.0,47.0,15.2,1,1,2,2,1,2
2,52,158.0,63.0,25.2,2,2,2,3,3,3
1,39,209.0,73.0,16.7,1,1,2,7,7,7
1,67,147.0,70.0,32.4,2,3,2,7,7,4
2,60,176.0,59.0,19.0,3,1,1,2,2,3
2,29,169.0,78.0,27.3,2,2,3,5,6,5
1,23,148.0,53.0,24.2,1,3,2,2,2,2
2,24,183.0,84.0,25.1,3,2,2,5,5,7
2,27,180.0,76.0,23.5,2,3,2,4,4,6
1,19,192.0,57.0,15.5,1,2,2,5,3,5
2,74,208.0,76.0,17.6,2,2,2,6,5,7
1,42,160.0,53.0,20.7,1,1,2,2,2,3
1,54,192.0,66.0,17.9,1,2,1,5,4,6
2,69,166.0,83.0,30.1,2,2,2,6,7,6
1,44,170.0,88.0,30.4,3,3,2,6,7,8
2,37,178.0,63.0,19.9,3,2,3,3,2,4
2,56,162.0,65.0,24.8,2,1,3,4,4,3
1,46,174.0,67.0,22.1,3,3,3,4,2,6
1,54,174.0,80.0,26.4,2,2,3,6,6,7
2,34,170.0,76.0,26.3,2,2,3,5,6,5
1,26,185.0,61.0,17.8,1,1,1,4,4,5
2,63,205.0,81.0,19.3,3,2,3,5,5,7
1,20,197.0,83.0,21.4,3,2,2,6,5,8
2,55,151.0,68.0,29.8,2,3,3,5,5,3
1,61,190.0,58.0,16.1,1,1,2,5,4,5
2,75,157.0,73.0,29.6,2,2,3,5,6,4
2,60,165.0,63.0,23.1,3,3,1,2,1,3
1,73,160.0,67.0,26.2,3,2,3,4,4,5
1,35,181.0,57.0,17.4,2,1,2,3,2,4
1,73,210.0,76.0,17.2,1,2,2,7,6,8
2,56,179.0,51.0,15.9,2,1,1,2,1,2
1,53,147.0,58.0,26.8,2,2,3,4,4,3
2,38,153.0,63.0,26.9,2,2,2,3,4,3
1,20,187.0,69.0,19.7,1,1,1,5,5,6
1,48,177.0,73.0,23.3,2,1,3,5,5,6
1,38,191.0,74.0,20.3,2,1,3,6,5,7
2,19,176.0,57.0,18.4,1,2,1,2,2,3
2,68,182.0,61.0,18.4,2,2,1,3,2,4
2,39,187.0,94.0,26.9,2,2,2,6,7,8
1,20,196.0,58.0,15.1,2,1,1,5,3,5
2,18,210.0,77.0,17.5,1,2,2,6,6,7
1,67,180.0,50.0,15.4,1,2,1,3,1,3
1,32,193.0,79.0,21.2,1,3,1,5,5,8
1,72,200.0,72.0,18.0,1,2,1,6,5,7
2,68,176.0,96.0,31.0,3,3,3,6,7,8
1,36,184.0,61.0,18.0,2,2,2,4,3,5
2,23,197.0,69.0,17.8,1,1,1,5,5,5
1,33,187.0,65.0,18.6,3,2,3,4,3,6
2,37,203.0,65.0,15.8,1,1,1,5,5,5
1,71,167.0,87.0,31.2,3,3,2,7,7,7
1,21,172.0,76.0,25.7,3,2,3,5,5,6
2,54,148.0,52.0,23.7,3,1,2,1,1,1
2,18,165.0,84.0,30.9,2,3,3,6,7,6
1,71,183.0,57.0,17.0,2,1,2,4,2,4
1,70,174.0,49.0,16.2,1,2,2,2,1,3
2,19,149.0,59.0,26.6,3,2,3,3,3,2
1,43,158.0,54.0,21.6,2,2,2,2,1,3
2,23,171.0,74.0,25.3,3,3,2,4,3,5
1,53,186.0,68.0,19.7,2,1,3,5,4,6
1,67,194.0,79.0,21.0,2,3,2,5,5,8
2,25,173.0,86.0,28.7,2,2,3,6,7,7
2,74,174.0,89.0,29.4,3,2,3,6,7,7
1,71,147.0,57.0,26.4,3,2,3,3,2,3
2,31,194.0,68.0,18.1,2,1,2,4,4,5
2,53,189.0,71.0,19.9,2,1,3,4,5,5
2,26,171.0,48.0,16.4,1,1,1,1,1,2
1,32,158.0,79.0,31.6,2,3,2,7,7,6
2,38,189.0,68.0,19.0,2,1,3,4,4,5
1,41,192.0,69.0,18.7,2,2,2,5,4,6
1,70,170.0,86.0,29.8,3,3,3,6,6,8
2,53,169.0,76.0,26.6,3,3,2,4,4,5
1,37,175.0,71.0,23.2,2,3,2,4,4,6
1,21,206.0,69.0,16.3,2,2,1,6,5,6
1,71,208.0,72.0,16.6,1,2,1,6,6,7
1,20,190.0,71.0,19.7,3,2,2,5,3,6
1,37,152.0,56.0,24.2,3,3,3,3,1,3
2,64,183.0,57.0,17.0,1,2,2,3,2,3
2,72,208.0,67.0,15.5,1,2,1,6,5,5
2,45,150.0,51.0,22.7,1,1,3,2,2,1
2,57,200.0,67.0,16.8,2,1,1,5,4,5
2,63,193.0,66.0,17.7,2,1,1,4,4,5
1,22,152.0,72.0,31.2,3,2,3,6,6,5
2,27,192.0,65.0,17.6,1,2,1,4,4,5
2,36,179.0,58.0,18.1,2,2,1,2,2,3
1,63,188.0,78.0,22.1,2,2,3,6,5,7
1,27,178.0,58.0,18.3,1,2,2,4,3,4
1,47,145.0,68.0,32.3,3,2,2,6,6,3
1,20,194.0,74.0,19.7,2,1,2,6,5,7
2,54,160.0,64.0,25.0,3,2,3,3,3,3
2,63,146.0,55.0,25.8,2,3,2,2,2,1
2,39,152.0,62.0,26.8,2,3,3,3,3,3
2,28,187.0,55.0,15.7,2,1,2,3,2,3
1,65,187.0,71.0,20.3,2,2,2,5,4,6
2,34,150.0,65.0,28.9,3,2,3,4,4,3
2,44,151.0,63.0,27.6,3,3,2,3,3,3
2,66,174.0,77.0,25.4,2,3,3,4,5,6
1,32,169.0,63.0,22.1,2,1,3,4,4,5
1,53,151.0,59.0,25.9,3,2,3,4,3,3
1,48,157.0,77.0,31.2,3,3,2,6,6,5
2,45,186.0,82.0,23.7,2,3,1,4,5,7
1,31,198.0,75.0,19.1,2,3,3,6,4,8
2,22,172.0,73.0,24.7,2,2,2,4,5,5
2,50,193.0,87.0,23.4,1,1,1,5,8,8
1,53,192.0,85.0,23.1,3,2,1,5,5,8
1,75,148.0,69.0,31.5,2,3,2,6,6,4
1,75,190.0,75.0,20.8,1,3,3,6,5,7
2,21,154.0,58.0,24.5,3,2,1,2,2,2
2,26,210.0,73.0,16.6,1,1,2,6,7,6
1,35,170.0,83.0,28.7,3,3,3,6,6,7
2,28,161.0,66.0,25.5,3,2,3,3,3,4
1,62,205.0,75.0,17.8,1,2,1,6,6,7
2,54,156.0,68.0,27.9,3,2,3,4,4,3
2,62,178.0,85.0,26.8,3,2,3,5,6,7
2,71,179.0,91.0,28.4,2,2,2,6,8,8
2,27,177.0,80.0,25.5,2,2,3,5,6,6
1,53,205.0,75.0,17.8,2,1,2,6,6,7
2,55,195.0,88.0,23.1,3,1,1,5,6,8
2,49,152.0,62.0,26.8,2,2,3,4,4,3
1,25,203.0,78.0,18.9,3,2,3,6,5,8
2,20,192.0,70.0,19.0,3,2,2,4,3,5
1,37,180.0,51.0,15.7,1,2,1,3,1,3
2,72,199.0,77.0,19.4,1,2,3,5,6,7
2,41,194.0,92.0,24.4,1,1,1,5,8,8
1,19,180.0,78.0,24.1,3,2,2,5,5,7
2,35,210.0,72.0,16.3,1,2,1,6,6,6
1,60,206.0,67.0,15.8,1,1,1,6,6,6
2,69,160.0,56.0,21.9,2,2,2,2,1,2
1,61,179.0,70.0,21.8,1,1,3,5,6,6
2,24,167.0,76.0,27.3,3,3,3,4,4,5
2,61,185.0,80.0,23.4,1,1,1,5,7,6
1,57,210.0,77.0,17.5,1,1,1,7,7,8
1,36,168.0,84.0,29.8,2,3,3,7,7,7
1,59,181.0,50.0,15.3,2,2,1,2,1,3
2,67,157.0,77.0,31.2,2,2,3,6,7,4
2,54,197.0,86.0,22.2,3,3,3,5,5,8
1,26,158.0,64.0,25.6,3,3,2,4,2,4
1,63,196.0,68.0,17.7,1,2,2,6,5,6
2,68,201.0,83.0,20.5,2,2,2,5,6,8
2,60,165.0,54.0,19.8,2,1,2,1,1,2
1,58,161.0,73.0,28.2,2,2,3,6,6,5
1,63,198.0,74.0,18.9,1,1,1,6,6,7
2,59,169.0,92.0,32.2,3,2,2,6,8,7
2,40,210.0,77.0,17.5,1,1,2,6,7,7
1,62,187.0,59.0,16.9,2,2,1,4,2,5
2,26,197.0,64.0,16.5,2,1,1,4,4,4
2,75,178.0,96.0,30.3,3,3,2,6,7,8
1,34,158.0,53.0,21.2,1,2,3,3,2,3
2,71,192.0,74.0,20.1,3,1,1,4,4,6
1,40,169.0,85.0,29.8,3,3,2,6,6,7
2,73,195.0,63.0,16.6,2,1,2,4,4,4
2,57,171.0,56.0,19.2,2,3,3,2,1,3
2,51,184.0,75.0,22.2,3,1,2,4,4,6
1,38,149.0,57.0,25.7,2,3,2,3,2,3
2,34,199.0,62.0,15.7,2,1,1,4,4,4
2,25,192.0,73.0,19.8,1,3,1,4,4,6
2,30,186.0,69.0,19.9,3,3,2,3,2,5
2,52,210.0,81.0,18.4,1,1,2,6,7,7
1,33,164.0,80.0,29.7,3,2,2,6,6,6
2,68,155.0,53.0,22.1,1,1,3,2,3,2
1,42,203.0,73.0,17.7,1,2,2,6,6,7
1,36,199.0,72.0,18.2,1,1,2,6,6,7
1,41,186.0,66.0,19.1,2,1,2,5,4,6
2,54,182.0,64.0,19.3,3,3,2,3,1,4
1,43,188.0,56.0,15.8,2,2,1,4,2,4
2,23,182.0,59.0,17.8,1,2,1,3,3,3
2,34,165.0,55.0,20.2,1,1,1,2,2,2
1,59,183.0,57.0,17.0,2,2,2,3,2,4
1,25,164.0,72.0,26.8,2,2,3,5,5,5
2,45,174.0,55.0,18.2,1,1,2,2,3,3
2,49,156.0,60.0,24.7,1,3,1,2,3,2
1,51,159.0,65.0,25.7,3,2,2,4,3,4
1,57,170.0,53.0,18.3,1,2,1,2,1,3
1,69,186.0,65.0,18.8,2,3,3,4,3,6
1,64,202.0,79.0,19.4,2,1,2,6,6,8
1,29,188.0,80.0,22.6,2,3,3,6,5,8
2,24,180.0,82.0,25.3,3,3,3,5,4,7
1,25,191.0,56.0,15.4,2,1,2,4,3,4
1,43,187.0,77.0,22.0,1,3,1,5,5,7
1,24,187.0,81.0,23.2,1,1,3,6,7,8
2,19,160.0,71.0,27.7,2,3,2,4,5,4
2,47,166.0,79.0,28.7,2,2,3,5,7,5
1,29,208.0,69.0,15.9,1,1,2,7,6,7
1,44,158.0,70.0,28.0,3,2,2,5,5,5
1,74,165.0,70.0,25.7,2,2,2,5,5,5
1,26,160.0,58.0,22.7,2,1,1,3,3,3
1,55,197.0,82.0,21.1,1,3,2,6,6,8
2,73,189.0,85.0,23.8,2,1,1,5,7,7
2,75,181.0,65.0,19.8,1,1,2,4,4,4
2,43,161.0,50.0,19.3,1,1,2,1,1,2
1,42,192.0,70.0,19.0,3,3,2,5,3,6
1,56,186.0,75.0,21.7,1,3,2,5,5,7
1,68,166.0,70.0,25.4,3,2,3,5,4,5
1,50,152.0,67.0,29.0,2,2,3,6,6,4
1,36,185.0,75.0,21.9,1,3,2,5,5,7
1,58,154.0,58.0,24.5,3,3,2,3,1,3
1,23,182.0,57.0,17.2,2,2,1,3,2,4
2,56,183.0,67.0,20.0,3,3,3,3,2,5
2,42,163.0,62.0,23.3,2,3,1,2,2,3
2,18,172.0,90.0,30.4,2,2,3,6,8,7
2,25,175.0,54.0,17.6,1,1,2,2,2,3
2,63,201.0,68.0,16.8,2,1,1,5,5,5
2,60,188.0,74.0,20.9,2,1,2,4,5,6
1,41,157.0,67.0,27.2,2,3,3,5,4,5
1,37,157.0,67.0,27.2,2,3,2,5,4,4
1,66,183.0,76.0,22.7,3,3,3,5,4,7
2,18,185.0,56.0,16.4,1,1,1,3,3,3
2,49,181.0,53.0,16.2,1,1,1,2,2,3
1,41,176.0,73.0,23.6,3,2,1,4,4,6
1,55,178.0,55.0,17.4,2,1,2,3,2,4
2,18,204.0,67.0,16.1,1,1,1,5,6,5
2,23,151.0,55.0,24.1,1,3,2,2,2,2
1,66,157.0,66.0,26.8,3,2,2,4,4,4
1,36,169.0,92.0,32.2,3,2,2,7,8,8
1,50,146.0,49.0,23.0,2,1,1,1,1,2
1,38,157.0,66.0,26.8,2,3,2,4,4,4
1,25,147.0,52.0,24.1,1,1,2,3,3,2
2,19,154.0,69.0,29.1,2,3,3,5,5,3
1,72,202.0,65.0,15.9,2,2,1,5,4,6
2,41,187.0,67.0,19.2,1,3,1,4,3,5
1,25,195.0,76.0,20.0,1,2,3,6,6,7
1,49,176.0,74.0,23.9,1,3,2,5,5,6
2,22,185.0,71.0,20.7,3,3,3,4,2,5
1,32,177.0,71.0,22.7,1,1,2,5,6,6
1,40,149.0,68.0,30.6,3,3,2,5,5,4
2,64,181.0,61.0,18.6,1,1,2,3,4,4
2,73,174.0,74.0,24.4,1,1,1,4,6,5
2,36,186.0,69.0,19.9,3,3,1,3,2,5
2,46,208.0,87.0,20.1,3,3,1,5,5,8
1,38,193.0,81.0,21.7,1,3,1,5,6,8
1,35,162.0,85.0,32.4,2,3,3,8,8,7
1,18,177.0,53.0,16.9,1,1,2,3,2,4
1,66,172.0,56.0,18.9,3,2,3,3,1,4
1,45,211.0,73.0,16.4,1,1,2,7,7,7
1,73,205.0,73.0,17.4,1,2,2,6,6,7
1,51,184.0,59.0,17.4,1,1,2,4,4,5
1,70,166.0,65.0,23.6,2,2,2,4,4,5
1,35,147.0,69.0,31.9,2,3,2,6,6,4
1,35,161.0,67.0,25.8,3,3,2,4,3,5
1,72,165.0,62.0,22.8,3,1,2,3,3,4
1,34,198.0,65.0,16.6,1,2,1,5,4,6
1,65,164.0,50.0,18.6,1,1,2,2,2,3
1,25,157.0,55.0,22.3,2,3,1,2,1,3
2,54,152.0,56.0,24.2,3,3,2,1,1,2
1,42,184.0,76.0,22.4,1,1,2,5,6,7
2,60,185.0,76.0,22.2,1,2,1,4,5,6
1,22,211.0,68.0,15.3,2,2,2,7,5,7
1,59,206.0,67.0,15.8,1,2,2,6,5,6
2,52,204.0,75.0,18.0,2,1,2,5,6,6
1,57,165.0,85.0,31.2,3,3,2,6,7,7
1,48,162.0,71.0,27.1,2,2,3,5,5,5
2,21,175.0,94.0,30.7,3,3,2,6,7,8
2,66,163.0,72.0,27.1,3,2,3,4,5,4
2,56,152.0,57.0,24.7,3,1,1,2,2,2
2,24,172.0,82.0,27.7,2,2,3,5,7,6
2,32,192.0,81.0,22.0,1,1,1,5,7,7
2,42,180.0,77.0,23.8,3,3,1,4,3,6
2,33,167.0,90.0,32.3,3,3,2,6,7,7
1,75,190.0,84.0,23.3,3,1,3,6,6,8
2,40,156.0,71.0,29.2,2,2,2,5,6,4
1,27,181.0,83.0,25.3,3,3,2,5,5,8
1,73,207.0,79.0,18.4,1,2,2,7,6,8
2,65,205.0,66.0,15.7,1,1,1,5,5,5
2,74,154.0,66.0,27.8,3,2,2,4,4,3
2,36,188.0,87.0,24.6,3,1,3,5,6,8
2,57,183.0,60.0,17.9,2,1,1,3,3,4
1,20,162.0,79.0,30.1,2,2,3,7,7,6
2,66,181.0,84.0,25.6,3,2,2,5,5,7
2,73,172.0,48.0,16.2,1,1,2,1,1,2
2,40,172.0,57.0,19.3,3,2,2,2,1,3
2,18,196.0,85.0,22.1,3,2,2,5,5,8
2,32,149.0,68.0,30.6,2,3,2,5,6,3
2,37,179.0,70.0,21.8,3,3,3,3,2,5
2,67,189.0,61.0,17.1,2,1,1,3,3,4
2,36,157.0,58.0,23.5,1,1,2,2,4,2
1,51,199.0,72.0,18.2,2,1,2,6,5,7
2,34,148.0,58.0,26.5,2,3,3,3,3,2
2,63,197.0,59.0,15.2,1,2,2,4,4,4
1,74,184.0,59.0,17.4,2,1,1,4,3,4
1,44,194.0,58.0,15.4,1,1,2,5,4,5
1,32,176.0,75.0,24.2,2,1,2,5,6,6
2,24,183.0,90.0,26.9,3,2,3,5,6,8
2,56,187.0,74.0,21.2,3,1,1,4,4,6
2,46,198.0,64.0,16.3,2,1,2,4,4,5
1,44,163.0,55.0,20.7,3,1,3,2,1,3
1,62,163.0,71.0,26.7,2,3,3,5,5,5
1,64,168.0,81.0,28.7,2,2,3,6,7,7
1,59,208.0,67.0,15.5,2,1,2,7,5,6
2,18,205.0,68.0,16.2,2,2,1,5,4,5
1,29,176.0,82.0,26.5,3,2,3,6,6,7
2,68,208.0,76.0,17.6,2,2,1,5,5,7
2,34,168.0,74.0,26.2,3,3,3,4,4,5
2,29,150.0,58.0,25.8,3,3,2,2,1,2
2,56,179.0,71.0,22.2,3,1,2,4,4,5
1,35,202.0,82.0,20.1,1,3,1,6,6,8
2,37,173.0,95.0,31.7,2,3,3,7,8,8
2,33,184.0,70.0,20.7,2,3,1,3,3,5
2,19,167.0,88.0,31.6,3,2,3,6,8,6
2,33,175.0,61.0,19.9,2,1,3,3,3,4
2,35,201.0,65.0,16.1,1,1,2,5,5,5
2,68,179.0,67.0,20.9,3,2,3,3,3,5
2,60,150.0,70.0,31.1,3,3,3,5,5,3
2,41,184.0,85.0,25.1,2,2,3,5,6,7
2,62,203.0,68.0,16.5,2,1,1,5,5,5
1,40,153.0,66.0,28.2,3,2,3,5,4,4
1,65,179.0,66.0,20.6,3,1,1,4,3,5
2,46,151.0,61.0,26.8,3,2,3,3,3,2
2,33,154.0,66.0,27.8,2,3,2,4,4,3
1,26,177.0,52.0,16.6,1,2,1,3,1,3
1,42,203.0,74.0,18.0,2,2,2,6,5,7
2,34,177.0,83.0,26.5,2,3,3,5,6,7
1,53,204.0,79.0,19.0,3,3,3,6,4,8
2,54,169.0,83.0,29.1,2,2,2,5,7,6
2,43,192.0,80.0,21.7,2,1,3,5,6,7
1,45,176.0,54.0,17.4,1,2,1,3,2,4
1,56,194.0,61.0,16.2,1,2,2,5,4,5
2,45,211.0,68.0,15.3,2,1,1,6,5,5
