gender,age,height,weight,bmi,tummy,hip,breast
2,59,203,65,15.8,1,1,2
2,26,205,118,28.1,3,2,2
2,58,180,79,24.4,3,3,3
1,39,173,61,20.4,1,3,2
2,44,204,132,31.7,3,3,2
1,38,198,117,29.8,3,2,3
1,63,151,63,27.6,3,2,3
1,25,189,111,31.1,3,3,2
2,34,194,59,15.7,2,2,1
2,38,152,65,28.1,2,2,2
1,75,159,43,17.0,2,2,1
1,41,166,48,17.4,1,1,2
1,24,189,101,28.3,3,2,3
1,64,208,100,23.1,3,1,3
2,40,187,107,30.6,3,3,2
2,44,164,64,23.8,2,2,1
2,30,193,78,20.9,2,3,3
2,71,209,90,20.6,1,1,1
2,42,176,58,18.7,3,3,2
2,36,200,68,17.0,1,2,2
2,70,195,71,18.7,3,3,1
2,69,195,76,20.0,3,3,1
1,39,165,56,20.6,1,3,1
2,67,201,113,28.0,3,2,3
1,22,180,72,22.2,2,3,3
1,55,153,55,23.5,2,1,1
1,42,195,76,20.0,3,1,2
2,37,168,91,32.2,2,2,3
1,58,158,43,17.2,2,2,2
2,45,181,86,26.3,2,2,3
2,59,148,71,32.4,2,3,2
2,66,209,111,25.4,2,2,3
1,53,183,79,23.6,1,2,1
1,45,179,62,19.4,3,3,2
2,44,205,115,27.4,3,2,3
1,74,205,117,27.8,3,2,3
1,64,191,84,23.0,2,2,3
1,36,183,57,17.0,1,2,1
2,20,194,59,15.7,1,2,2
1,72,207,118,27.5,2,2,3
2,35,156,49,20.1,2,2,1
2,49,146,60,28.1,3,2,3
2,71,195,96,25.2,3,2,2
2,73,190,109,30.2,3,2,2
1,62,151,47,20.6,3,2,2
1,38,199,63,15.9,1,2,1
1,30,192,92,25.0,3,3,2
2,58,166,44,16.0,2,2,2
1,39,156,43,17.7,1,2,1
1,70,182,70,21.1,2,3,2
2,32,175,52,17.0,2,2,2
1,27,173,89,29.7,2,3,3
2,20,183,84,25.1,2,2,3
1,28,146,52,24.4,1,2,3
1,63,204,68,16.3,2,1,1
1,57,193,95,25.5,2,2,3
2,25,159,54,21.4,3,1,3
1,30,159,58,22.9,3,1,3
1,23,197,93,24.0,2,1,2
1,56,192,68,18.4,2,1,2
2,32,162,64,24.4,3,2,2
1,28,156,56,23.0,3,2,1
1,24,175,70,22.9,2,1,1
2,53,207,112,26.1,3,3,2
1,65,209,90,20.6,1,1,2
2,54,169,73,25.6,3,2,3
2,65,197,111,28.6,3,3,3
2,36,190,70,19.4,2,2,1
1,43,204,91,21.9,3,3,1
2,20,184,59,17.4,1,1,1
2,48,210,124,28.1,2,2,2
1,46,185,89,26.0,2,3,2
1,26,168,62,22.0,2,1,1
1,54,184,70,20.7,2,1,2
1,29,202,108,26.5,3,2,2
2,55,211,89,20.0,1,1,3
1,32,185,110,32.1,2,2,2
1,31,172,82,27.7,2,3,3
2,26,194,62,16.5,1,1,2
1,69,176,79,25.5,2,3,2
1,31,205,102,24.3,1,2,3
1,63,192,108,29.3,3,3,2
1,63,163,85,32.0,3,3,2
1,62,205,98,23.3,3,1,2
1,41,167,63,22.6,1,3,1
2,55,198,104,26.5,2,2,2
1,34,206,118,27.8,3,2,2
2,56,182,72,21.7,1,2,3
2,58,181,77,23.5,2,2,3
1,48,195,77,20.2,3,3,2
2,60,198,125,31.9,2,3,3
1,75,198,74,18.9,2,2,2
1,53,208,85,19.6,1,2,3
1,55,187,99,28.3,2,2,3
1,54,186,66,19.1,1,1,3
2,49,165,75,27.5,3,3,3
1,31,187,98,28.0,3,3,3
2,25,202,76,18.6,1,3,1
2,41,175,90,29.4,3,2,3
1,22,196,67,17.4,2,1,2
2,67,146,45,21.1,2,1,3
2,73,180,102,31.5,2,2,3
2,49,165,81,29.8,2,3,3
2,42,166,64,23.2,2,2,1
2,73,184,104,30.7,3,2,3
2,24,192,88,23.9,3,3,3
1,67,179,62,19.4,2,3,3
2,52,194,89,23.6,3,1,3
1,19,178,51,16.1,1,2,1
2,39,201,112,27.7,3,2,2
1,32,192,63,17.1,2,2,2
2,63,163,53,19.9,3,1,1
2,53,162,44,16.8,2,2,1
2,42,158,78,31.2,3,3,2
2,51,196,67,17.4,2,2,1
1,19,182,107,32.3,2,2,2
1,22,160,57,22.3,1,3,3
1,72,180,65,20.1,3,1,1
2,44,171,53,18.1,2,1,2
1,46,197,70,18.0,2,2,1
1,67,182,72,21.7,1,2,2
2,37,180,68,21.0,3,2,2
1,44,194,104,27.6,2,3,3
2,49,173,82,27.4,2,3,3
2,34,173,97,32.4,3,3,2
1,68,177,101,32.2,2,3,2
1,46,194,120,31.9,2,2,2
1,65,195,67,17.6,2,2,2
1,46,179,87,27.2,3,2,2
2,36,158,60,24.0,1,2,2
2,64,150,46,20.4,3,1,2
1,35,203,67,16.3,1,2,2
2,58,165,75,27.5,3,2,2
2,29,193,115,30.9,2,3,3
2,35,200,95,23.8,2,1,1
1,53,211,110,24.7,1,2,1
2,51,205,95,22.6,3,2,2
1,22,166,63,22.9,2,3,2
1,43,167,75,26.9,3,3,3
1,74,177,54,17.2,2,2,1
2,38,147,59,27.3,2,3,2
1,21,180,90,27.8,3,2,3
1,42,166,47,17.1,2,2,2
2,43,176,72,23.2,1,3,2
2,32,208,126,29.1,2,2,2
2,71,180,95,29.3,3,3,3
2,46,207,104,24.3,1,1,1
2,62,164,83,30.9,3,2,3
2,48,205,96,22.8,1,2,2
2,46,208,87,20.1,2,2,2
1,23,191,113,31.0,3,3,2
1,59,183,54,16.1,2,2,1
2,75,163,78,29.4,2,2,2
1,44,151,68,29.8,3,3,3
1,25,210,70,15.9,2,2,1
1,50,188,70,19.8,1,3,2
1,54,181,89,27.2,3,2,2
1,54,175,60,19.6,3,3,3
2,49,168,90,31.9,2,3,3
1,45,203,127,30.8,2,3,2
1,42,207,111,25.9,3,3,3
1,27,194,82,21.8,1,3,2
2,65,175,78,25.5,3,2,2
2,22,202,118,28.9,2,3,3
1,75,166,44,16.0,2,2,2
1,60,185,65,19.0,3,3,2
2,23,199,61,15.4,1,1,1
1,18,176,55,17.8,2,1,2
2,70,187,54,15.4,1,1,2
2,55,180,52,16.0,1,1,1
1,67,209,111,25.4,3,3,2
1,50,173,90,30.1,2,2,2
1,52,154,74,31.2,2,2,3
1,55,179,66,20.6,3,2,2
1,62,174,68,22.5,1,3,1
2,71,211,74,16.6,2,1,1
1,48,146,52,24.4,2,3,2
2,67,195,121,31.8,3,3,2
2,48,191,97,26.6,3,3,3
2,59,171,67,22.9,2,2,1
2,29,148,53,24.2,2,3,3
2,41,174,89,29.4,2,3,2
1,30,189,69,19.3,3,1,1
2,34,198,95,24.2,1,1,1
2,19,203,84,20.4,2,1,3
1,75,155,52,21.6,3,3,3
2,35,167,51,18.3,2,1,2
1,59,208,113,26.1,2,2,2
1,68,207,126,29.4,2,3,3
1,20,179,97,30.3,2,2,2
2,65,197,66,17.0,1,1,1
1,65,172,48,16.2,2,1,2
2,41,152,54,23.4,1,2,2
1,31,203,120,29.1,2,3,3
2,67,158,56,22.4,2,3,1
1,39,201,105,26.0,3,2,3
2,66,190,102,28.3,2,3,3
2,62,192,82,22.2,3,2,1
1,38,196,75,19.5,3,2,1
2,29,163,67,25.2,3,3,2
2,47,189,77,21.6,2,2,3
2,54,164,70,26.0,3,2,3
2,52,162,43,16.4,2,2,2
1,66,190,67,18.6,2,1,2
2,40,175,58,18.9,2,1,3
1,55,161,83,32.0,2,3,3
2,37,201,129,31.9,2,3,3
2,40,208,119,27.5,2,2,3
1,48,199,83,21.0,1,2,1
2,41,160,59,23.0,2,3,3
1,55,180,105,32.4,3,3,2
2,51,169,91,31.9,2,3,2
2,59,162,45,17.1,2,1,2
2,34,160,81,31.6,3,2,2
1,54,191,101,27.7,2,2,3
2,59,195,96,25.2,3,3,3
1,72,209,121,27.7,2,2,2
1,48,194,70,18.6,3,2,3
2,22,175,73,23.8,3,3,1
2,70,202,121,29.7,3,3,3
1,61,188,94,26.6,2,2,2
1,30,157,74,30.0,2,2,3
2,57,147,65,30.1,2,2,3
1,56,201,114,28.2,3,3,2
2,41,211,123,27.6,3,3,3
2,55,163,85,32.0,3,3,2
1,28,190,78,21.6,2,2,3
1,48,199,76,19.2,1,1,1
1,23,167,60,21.5,1,2,2
2,51,159,68,26.9,3,2,2
1,49,182,74,22.3,3,3,2
1,23,187,53,15.2,1,1,2
1,71,169,87,30.5,3,2,2
2,57,197,69,17.8,2,1,2
2,54,211,110,24.7,2,3,2
1,75,160,43,16.8,2,2,1
2,38,171,56,19.2,1,1,1
2,70,198,74,18.9,2,3,2
1,33,188,97,27.4,3,2,2
1,36,156,66,27.1,3,3,3
1,30,179,56,17.5,1,1,1
2,40,183,82,24.5,2,2,2
1,69,196,65,16.9,2,2,2
2,62,176,56,18.1,1,2,2
2,43,210,93,21.1,1,2,1
1,37,208,121,28.0,2,2,3
2,58,201,74,18.3,1,2,2
1,47,208,71,16.4,2,2,2
1,44,166,64,23.2,2,3,2
2,70,155,41,17.1,1,2,2
1,72,196,80,20.8,1,3,1
2,69,145,54,25.7,3,2,2
2,47,202,63,15.4,1,2,2
2,70,188,97,27.4,3,2,3
2,71,189,71,19.9,1,3,1
2,74,163,64,24.1,1,3,2
2,58,201,111,27.5,2,3,2
1,24,163,76,28.6,3,2,2
2,62,147,58,26.8,2,2,3
1,55,180,98,30.2,2,2,3
1,57,158,52,20.8,1,3,1
1,72,203,121,29.4,3,2,3
1,62,179,66,20.6,1,2,2
1,65,177,52,16.6,2,2,1
1,36,169,59,20.7,1,1,2
1,61,180,79,24.4,2,2,3
1,66,174,95,31.4,3,3,2
2,29,187,97,27.7,2,2,3
2,21,207,73,17.0,2,2,2
1,42,203,105,25.5,3,3,2
2,21,196,92,23.9,3,1,2
2,33,157,49,19.9,3,3,2
2,56,161,56,21.6,3,1,3
1,75,173,49,16.4,1,2,1
1,69,158,63,25.2,2,3,3
1,61,189,56,15.7,1,2,1
2,69,149,45,20.3,3,2,3
2,50,205,122,29.0,3,3,3
1,70,158,55,22.0,3,1,3
2,27,176,74,23.9,2,3,3
2,63,202,127,31.1,3,3,2
1,22,191,82,22.5,1,2,1
1,29,202,98,24.0,1,1,3
2,73,183,63,18.8,3,2,2
2,21,192,105,28.5,3,3,3
1,68,208,103,23.8,3,2,2
1,62,145,55,26.2,2,3,2
2,65,197,118,30.4,3,3,3
1,31,185,89,26.0,3,2,2
2,30,197,125,32.2,2,3,2
2,30,199,72,18.2,1,1,2
2,41,187,72,20.6,3,3,2
1,60,197,82,21.1,2,3,3
1,73,182,92,27.8,2,3,3
1,48,209,72,16.5,1,2,1
2,37,150,46,20.4,3,1,3
1,26,157,61,24.7,1,3,1
2,32,154,74,31.2,3,2,2
1,53,171,75,25.6,2,2,3
2,21,193,108,29.0,2,3,2
2,70,205,80,19.0,1,3,3
1,61,204,93,22.3,1,3,3
1,59,151,62,27.2,3,3,2
1,23,183,66,19.7,3,1,3
2,71,204,86,20.7,1,3,2
2,28,194,102,27.1,2,2,2
1,66,176,92,29.7,2,2,2
1,46,193,115,30.9,2,3,3
2,31,205,120,28.6,2,3,2
1,18,148,68,31.0,2,3,2
1,53,181,80,24.4,1,2,3
2,32,195,65,17.1,2,2,1
2,67,194,81,21.5,3,2,2
1,35,148,43,19.6,1,1,3
2,73,179,93,29.0,3,2,2
2,71,192,117,31.7,2,3,2
1,52,176,62,20.0,1,3,3
2,25,209,68,15.6,1,2,1
1,33,208,79,18.3,1,2,1
1,35,182,93,28.1,2,3,2
1,39,150,61,27.1,2,3,3
2,72,169,66,23.1,3,1,1
1,41,148,64,29.2,3,3,2
1,61,176,75,24.2,3,3,2
1,21,180,54,16.7,2,1,1
1,46,208,76,17.6,1,2,2
2,41,202,92,22.5,2,2,3
2,46,182,60,18.1,2,2,1
2,67,186,94,27.2,3,2,2
2,33,190,92,25.5,2,3,3
2,33,147,63,29.2,3,3,3
1,33,167,90,32.3,2,3,2
2,18,191,106,29.1,2,3,2
1,20,189,97,27.2,3,3,2
2,72,169,62,21.7,2,3,2
1,75,188,87,24.6,3,3,1
2,59,192,111,30.1,3,3,2
1,72,171,52,17.8,2,2,1
1,58,187,99,28.3,2,2,3
2,68,167,43,15.4,2,2,2
2,30,210,95,21.5,1,2,3
2,40,208,86,19.9,2,3,2
2,68,197,60,15.5,1,2,1
1,53,161,78,30.1,2,3,2
1,23,197,125,32.2,2,2,3
2,58,198,62,15.8,2,1,2
1,48,178,62,19.6,1,2,2
1,69,195,121,31.8,2,3,3
1,35,183,55,16.4,1,1,2
2,63,203,103,25.0,3,2,2
2,19,167,63,22.6,2,2,3
1,68,159,45,17.8,2,1,1
1,58,194,111,29.5,2,3,3
2,31,209,73,16.7,2,2,2
1,56,160,57,22.3,1,1,2
2,35,171,64,21.9,2,2,1
2,43,147,57,26.4,3,3,3
1,65,196,81,21.1,3,3,1
2,61,202,130,31.9,3,2,3
1,21,193,83,22.3,3,2,2
2,35,191,106,29.1,2,3,3
2,20,190,114,31.6,2,3,2
1,23,146,56,26.3,2,3,2
1,33,200,89,22.2,2,2,3
2,58,201,120,29.7,3,2,3
2,69,179,61,19.0,3,3,2
2,55,172,88,29.7,2,3,2
2,32,171,67,22.9,2,1,3
2,26,191,68,18.6,3,2,2
1,29,192,111,30.1,3,2,2
2,27,205,77,18.3,2,1,2
1,40,207,114,26.6,2,3,3
1,68,161,62,23.9,1,1,3
2,35,205,76,18.1,1,2,1
2,60,167,47,16.9,2,1,1
2,68,163,77,29.0,2,3,2
2,46,186,93,26.9,2,2,3
1,56,201,81,20.0,3,2,2
2,48,184,79,23.3,1,1,3
1,23,191,61,16.7,2,1,1
1,18,162,49,18.7,2,3,1
1,53,165,77,28.3,2,3,2
2,24,185,96,28.0,3,3,2
1,25,198,77,19.6,2,2,2
2,31,149,63,28.4,2,3,2
1,37,205,84,20.0,2,1,3
2,54,187,105,30.0,2,3,2
1,39,157,46,18.7,3,2,2
2,56,174,82,27.1,3,3,2
1,19,190,89,24.7,1,1,2
1,66,189,93,26.0,3,3,2
1,63,172,79,26.7,2,3,3
1,68,204,96,23.1,1,3,1
2,63,201,94,23.3,1,3,2
2,41,175,91,29.7,2,3,3
1,68,161,80,30.9,2,3,3
1,45,207,67,15.6,2,1,2
2,62,188,98,27.7,2,2,3
2,42,210,74,16.8,1,2,2
1,53,209,112,25.6,2,2,2
1,20,192,105,28.5,2,3,2
2,70,207,127,29.6,3,3,3
2,46,180,74,22.8,3,3,3
1,20,208,102,23.6,2,1,2
2,75,151,72,31.6,3,2,2
2,67,187,113,32.3,3,3,3
2,58,150,47,20.9,3,1,1
2,49,208,71,16.4,2,1,1
1,56,211,71,15.9,1,2,2
1,70,208,84,19.4,1,3,3
1,70,195,101,26.6,2,3,3
2,40,206,118,27.8,3,2,2
1,56,185,74,21.6,3,2,3
2,45,201,109,27.0,3,2,3
1,60,190,80,22.2,3,1,3
1,60,169,89,31.2,2,2,2
1,44,179,64,20.0,3,3,2
1,48,182,70,21.1,2,1,2
2,38,190,97,26.9,2,3,3
1,74,159,47,18.6,1,3,3
1,30,167,57,20.4,3,2,2
2,38,209,119,27.2,2,3,2
1,18,162,62,23.6,2,3,2
1,62,204,95,22.8,2,3,2
2,57,178,57,18.0,2,2,1
1,49,200,94,23.5,2,1,2
1,57,173,80,26.7,2,2,2
1,37,176,66,21.3,3,1,1
1,19,154,73,30.8,3,3,3
2,53,193,62,16.6,1,2,1
2,45,196,67,17.4,2,2,1
2,75,153,50,21.4,1,3,3
1,24,170,50,17.3,1,1,2
1,52,161,61,23.5,2,3,2
1,20,183,101,30.2,3,2,3
1,66,200,88,22.0,2,1,3
1,37,194,96,25.5,2,3,3
1,19,190,88,24.4,2,1,2
1,69,211,102,22.9,2,2,2
2,45,164,41,15.2,1,2,1
1,73,164,74,27.5,3,3,3
1,22,192,71,19.3,3,1,1
1,71,150,44,19.6,2,3,1
2,55,193,68,18.3,1,2,1
1,23,186,107,30.9,2,3,2
1,29,168,43,15.2,1,1,1
2,54,180,78,24.1,3,1,2
1,39,208,79,18.3,2,2,2
2,25,203,117,28.4,3,2,3
1,64,196,79,20.6,1,1,1
2,29,210,75,17.0,1,2,2
2,24,154,61,25.7,2,2,3
2,64,149,49,22.1,3,1,1
1,74,199,68,17.2,1,2,1
2,33,169,64,22.4,1,1,3
1,34,198,108,27.5,2,3,3
1,75,167,71,25.5,3,3,3
2,69,153,51,21.8,1,3,3
1,68,200,124,31.0,2,3,3
1,63,187,96,27.5,3,3,2
2,36,176,55,17.8,2,1,2
1,58,172,70,23.7,1,1,3
2,73,197,81,20.9,2,2,3
1,27,193,89,23.9,2,3,2
2,50,210,69,15.6,2,2,1
1,73,181,71,21.7,3,1,1
1,74,210,83,18.8,1,2,3
2,72,206,70,16.5,1,2,2
1,33,188,70,19.8,2,1,1
2,34,197,124,32.0,2,3,3
1,45,204,116,27.9,3,3,3
1,48,198,74,18.9,3,3,3
1,62,192,82,22.2,2,3,2
2,53,179,68,21.2,1,1,1
1,72,184,60,17.7,2,2,2
1,57,155,65,27.1,2,3,2
2,65,169,51,17.9,1,1,2
1,47,206,85,20.0,2,2,1
1,38,156,66,27.1,3,3,2
1,18,195,62,16.3,2,2,2
1,67,152,53,22.9,3,3,3
1,52,203,116,28.1,2,3,3
1,29,179,66,20.6,2,2,1
2,66,195,93,24.5,1,2,3
2,57,185,86,25.1,2,3,3
2,75,172,49,16.6,2,2,1
2,41,175,57,18.6,1,1,1
1,23,186,103,29.8,3,2,2
1,34,165,79,29.0,2,3,3
1,49,202,86,21.1,2,2,2
1,66,178,85,26.8,3,3,2
2,51,185,101,29.5,3,3,2
1,68,160,74,28.9,3,3,2
1,62,209,96,22.0,1,2,3
2,30,205,124,29.5,3,3,3
1,47,211,118,26.5,2,2,2
1,44,188,114,32.3,2,3,3
1,57,200,87,21.8,3,1,3
2,46,200,76,19.0,3,3,2
1,53,166,81,29.4,3,2,3
2,69,178,77,24.3,2,3,2
1,38,187,62,17.7,1,2,1
1,33,207,80,18.7,2,1,1
2,27,203,127,30.8,2,2,3
2,59,176,81,26.1,3,3,2
2,65,199,119,30.0,3,2,2
1,56,191,87,23.8,1,1,2
1,42,169,66,23.1,2,1,1
1,51,182,84,25.4,2,2,3
2,73,187,69,19.7,1,3,2
2,49,190,94,26.0,3,3,2
2,24,191,107,29.3,2,2,2
1,29,156,62,25.5,3,2,2
2,25,170,47,16.3,2,1,2
2,60,162,83,31.6,3,3,2
1,36,195,87,22.9,2,2,1
2,33,153,71,30.3,2,2,3
1,69,159,71,28.1,3,2,3
2,75,152,58,25.1,2,3,2
2,61,203,126,30.6,3,3,2
2,67,197,72,18.6,3,3,2
1,27,202,78,19.1,2,3,1
1,24,166,50,18.1,2,2,2
2,65,211,127,28.5,3,2,3
2,60,186,54,15.6,2,2,2
2,74,176,93,30.0,3,3,3
1,42,183,61,18.2,1,2,2
2,68,160,65,25.4,2,2,3
2,35,155,63,26.2,3,3,3
2,48,198,72,18.4,1,1,1
1,26,177,85,27.1,2,3,2
1,67,209,129,29.5,3,3,2
2,54,170,59,20.4,2,3,1
2,40,185,101,29.5,3,3,3
1,68,209,73,16.7,2,2,2
2,57,199,128,32.3,2,3,2
2,20,190,113,31.3,2,3,2
1,29,175,74,24.2,1,2,3
1,18,194,70,18.6,3,3,3
1,60,184,55,16.2,2,2,2
1,60,202,96,23.5,3,1,1
1,36,176,51,16.5,1,2,2
1,22,199,125,31.6,3,2,3
2,52,207,108,25.2,2,3,3
1,33,176,48,15.5,1,2,2
1,38,162,58,22.1,2,1,3
1,20,178,48,15.1,2,1,2
1,52,160,60,23.4,2,3,2
1,69,181,55,16.8,1,2,1
2,73,147,65,30.1,2,3,3
2,28,167,71,25.5,2,2,2
2,60,169,62,21.7,2,2,2
1,56,146,47,22.0,2,1,3
2,49,180,81,25.0,2,3,3
2,60,165,68,25.0,2,3,3
1,47,204,84,20.2,1,2,2
1,33,198,107,27.3,3,3,2
1,75,188,61,17.3,1,2,2
2,54,182,80,24.2,2,2,3
1,24,175,87,28.4,3,2,3
2,69,210,80,18.1,2,2,2
2,62,197,112,28.9,3,2,3
1,45,184,88,26.0,3,3,2
2,68,188,110,31.1,3,2,3
1,50,150,43,19.1,2,1,3
2,18,184,79,23.3,3,3,1
1,52,189,114,31.9,2,3,3
2,22,198,104,26.5,3,3,2
2,54,207,73,17.0,2,2,1
2,51,205,123,29.3,3,2,2
1,70,201,105,26.0,2,3,3
1,66,179,84,26.2,3,3,3
1,30,172,78,26.4,2,2,3
1,28,205,82,19.5,1,2,3
2,64,163,49,18.4,1,2,1
2,33,163,86,32.4,2,2,3
2,73,200,112,28.0,3,2,2
1,22,196,84,21.9,3,1,3
2,70,181,67,20.5,1,2,2
1,64,157,72,29.2,2,2,2
1,50,179,66,20.6,2,2,2
2,48,205,109,25.9,2,3,3
1,30,181,62,18.9,1,3,3
2,42,171,58,19.8,2,3,3
1,42,211,102,22.9,3,1,1
2,34,200,83,20.8,1,2,1
1,66,181,69,21.1,3,3,3
2,37,171,59,20.2,3,1,1
2,52,172,96,32.4,3,3,3
2,68,206,64,15.1,2,2,2
1,67,170,50,17.3,2,1,1
2,38,194,98,26.0,3,3,2
2,32,210,125,28.3,2,2,3
2,28,164,41,15.2,2,1,1
2,31,149,49,22.1,2,1,1
2,20,162,84,32.0,3,3,2
1,55,176,58,18.7,1,2,1
2,65,198,96,24.5,3,3,3
1,25,205,88,20.9,3,1,1
1,30,194,68,18.1,1,1,2
1,71,194,89,23.6,3,1,1
1,59,178,54,17.0,2,1,1
1,68,201,62,15.3,2,2,1
2,50,198,105,26.8,2,2,3
2,29,197,60,15.5,1,1,2
1,75,164,56,20.8,1,1,3
2,22,203,116,28.1,3,2,3
2,62,189,93,26.0,3,2,3
1,24,188,67,19.0,1,2,3
1,42,206,79,18.6,2,1,1
2,56,167,52,18.6,1,3,1
1,31,189,61,17.1,2,1,1
1,60,205,112,26.7,3,3,3
1,40,178,81,25.6,3,3,2
1,21,164,87,32.3,2,3,2
1,43,200,67,16.8,2,1,1
1,63,183,99,29.6,2,2,3
1,70,202,90,22.1,3,2,2
2,26,166,44,16.0,2,1,1
2,52,164,79,29.4,2,2,3
2,39,198,87,22.2,3,3,1
1,26,188,84,23.8,2,2,2
2,74,196,76,19.8,2,1,2
2,39,170,53,18.3,1,1,2
2,44,163,41,15.4,2,2,1
1,46,195,94,24.7,1,3,3
2,21,200,98,24.5,3,1,3
2,74,184,109,32.2,3,3,2
2,57,166,65,23.6,1,3,1
1,45,175,59,19.3,3,1,3
2,37,188,93,26.3,2,3,3
2,19,193,93,25.0,3,2,3
2,57,145,63,30.0,3,3,2
1,56,204,113,27.2,2,2,2
2,74,178,87,27.5,2,2,3
1,41,150,43,19.1,3,1,3
1,31,184,79,23.3,3,1,3
1,56,181,61,18.6,2,3,3
1,18,190,117,32.4,3,2,3
1,27,168,66,23.4,2,1,3
1,49,206,129,30.4,3,3,2
